Constituency,Electorate,Total Poll,% Turnout,Invalid Ballot Papers,Valid Poll,Votes in Favour,Votes Against,% in Favour,% Against
Carlow-Kilkenny,104735,68531,65.43,668,67863,38166,29697,56.24,43.76
Cavan-Monaghan,99265,56774,57.19,517,56257,28494,27763,50.65,49.35
Clare,81809,48627,59.44,336,48291,28137,20154,58.27,41.73
Cork East,81271,49532,60.95,304,49228,30383,18845,61.72,38.28
Cork North-Central,75263,45059,59.87,398,44661,28479,16182,63.77,36.23
Cork North-West,62143,38997,62.75,311,38686,22388,16298,57.87,42.13
Cork South-Central,92422,59018,63.86,355,58663,38591,20072,65.78,34.22
Cork South-West,60141,37107,61.7,255,36852,20627,16225,55.97,44.03
Donegal North-East,59721,30723,51.44,191,30532,16040,14492,52.54,47.46
Donegal South-West,62171,32051,51.55,270,31781,15907,15874,50.05,49.95
Dublin Central,57193,33163,57.98,194,32969,23861,9108,72.37,27.63
Dublin Mid-West,67091,42528,63.39,253,42275,29984,12291,70.93,29.07
Dublin North,72523,47743,65.83,240,47503,34494,13009,72.61,27.39
Dublin North-Central,53785,37032,68.85,219,36813,25382,11431,68.95,31.05
Dublin North-East,59549,39526,66.38,214,39312,26222,13090,66.7,33.3
Dublin North-West,51207,30538,59.64,218,30320,21395,8925,70.56,29.44
Dublin South,103969,70543,67.85,284,70259,49109,21150,69.9,30.1
Dublin South-Central,80406,48690,60.56,284,48406,34988,13418,72.28,27.72
Dublin South-East,59376,34452,58.02,203,34249,25655,8594,74.91,25.09
Dublin South-West,71232,45169,63.41,258,44911,32010,12901,71.27,28.73
Dublin West,65643,42250,64.36,210,42040,29690,12350,70.62,29.38
Dun Laoghaire,80176,53762,67.05,310,53452,38284,15168,71.62,28.38
Galway East,85900,48110,56.01,456,47654,25389,22265,53.28,46.72
Galway West,95180,52521,55.18,431,52090,32037,20053,61.5,38.5
Kerry North - West Limerick,62523,35769,57.21,283,35486,19678,15808,55.45,44.55
Kerry South,57524,33476,58.19,288,33188,18357,14831,55.31,44.69
Kildare North,79014,49029,62.05,287,48742,33960,14782,69.67,30.33
Kildare South,60384,35272,58.41,212,35060,23199,11861,66.17,33.83
Laois-Offaly,108436,63297,58.37,477,62820,35685,27135,56.81,43.19
Limerick,64100,37504,58.51,385,37119,20322,16797,54.75,45.25
Limerick City,61421,38881,63.3,237,38644,24789,13855,64.15,35.85
Longford-Westmeath,87425,47879,54.77,409,47470,25445,22025,53.6,46.4
Louth,102561,61450,59.92,379,61071,38758,22313,63.46,36.54
Mayo,97296,55929,57.48,562,55367,28801,26566,52.02,47.98
Meath East,64956,38767,59.68,217,38550,24525,14025,63.62,36.38
Meath West,63649,35821,56.28,258,35563,21374,14189,60.1,39.9
Roscommon-South Leitrim,59392,36522,61.49,263,36259,17615,18644,48.58,51.42
Sligo-North Leitrim,62031,35842,57.78,297,35545,19043,16502,53.57,46.43
Tipperary North,65118,40725,62.54,350,40375,22077,18298,54.68,45.32
Tipperary South,58262,34539,59.28,324,34215,19203,15012,56.12,43.88
Waterford,79669,47297,59.37,364,46933,28313,18620,60.33,39.67
Wexford,111474,64450,57.82,460,63990,40692,23298,63.59,36.41
Wicklow,94275,64830,68.77,387,64443,44059,20384,68.37,31.63
Total,3221681,1949725,60.52,13818,1935907,1201607,734300,62.07,37.93